2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49672, Remote Address: 127.0.0.1:49671, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49673, Remote Address: 127.0.0.1:49674, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49674, Remote Address: 127.0.0.1:49673, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49675, Remote Address: 127.0.0.1:49676, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49676, Remote Address: 127.0.0.1:49675, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49677, Remote Address: 127.0.0.1:49678, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49678, Remote Address: 127.0.0.1:49677, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49680, Remote Address: 127.0.0.1:49681, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49681, Remote Address: 127.0.0.1:49680, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49682, Remote Address: 127.0.0.1:49683, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
